iter	RMSE
0	0.8448352637
1	0.7809501482
2	0.722243915
3	0.6693021725
4	0.6207514995
5	0.5803589448
6	0.5470265631
7	0.5132362177
8	0.4810830463
9	0.4510179851
10	0.424718219
11	0.4031721133
12	0.3836720089
13	0.3662775767
14	0.35037018
15	0.3362754389
16	0.3221556066
17	0.3095560857
18	0.2997113819
19	0.2898568167
20	0.2802378952
21	0.2720235626
22	0.2651384144
23	0.2579031346
24	0.2514270089
25	0.2454059093
26	0.2397406302
27	0.2354864404
28	0.2320508295
29	0.228655726
30	0.2251804256
31	0.2216138509
32	0.2188398592
33	0.215968351
34	0.213509449
35	0.2110887934
36	0.209262626
37	0.2071719383
38	0.2052190099
39	0.2037798962
40	0.2021794753
41	0.2008238965
42	0.1998717423
43	0.1987253997
44	0.1975540206
45	0.1963819106
46	0.1953981801
47	0.1944762603
48	0.1934327302
49	0.1924935763
50	0.1918175039
51	0.1911232515
52	0.1905707596
53	0.1899517987
54	0.18933914
55	0.1887784379
56	0.1882280502
57	0.1877460724
58	0.1871712686
59	0.1865958293
60	0.1862842229
61	0.1858500178
62	0.1854407036
63	0.185013995
64	0.1846160988
65	0.1840932969
66	0.1837204335
67	0.1832850963
68	0.1830614403
69	0.1826710141
70	0.1824340151
71	0.1820006804
72	0.1816285629
73	0.1812267716
74	0.1808826895
75	0.1804621604
76	0.1800644273
77	0.1797728148
78	0.1795820508
79	0.1792045346
80	0.1787842061
81	0.1785976501
82	0.1783462808
83	0.1780740853
84	0.1777507856
85	0.1774892034
86	0.1772793053
87	0.1768211322
88	0.1766525725
89	0.1763583289
90	0.1759365724
91	0.1756701762
92	0.1754003418
93	0.1751843785
94	0.1750138033
95	0.1746103058
96	0.1743530015
97	0.1741020511
98	0.1737695796
99	0.1736177545
