iter	Passed	Remaining
0	1	143
1	2	127
2	3	121
3	4	115
4	5	112
5	6	109
6	8	106
7	9	104
8	10	103
9	11	101
10	12	100
11	13	99
12	14	97
13	15	96
14	16	95
15	17	94
16	18	92
17	20	91
18	21	90
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	27	82
25	28	81
26	29	80
27	31	80
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	39	70
36	40	69
37	41	68
38	43	67
39	44	66
40	45	65
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	108	3
97	109	2
98	110	1
99	111	0
